a52dec 0.7.4-11
aalib 1.4rc5-14
accounts-qml-module 0.7-3
accountsservice 0.6.55-3
acl 2.2.53-3
adobe-source-code-pro-fonts 2.032ro+1.052it+1.012var-1
adwaita-icon-theme 3.38.0-1
akonadi 20.08.3-2
akonadi-calendar 20.08.3-1
akonadi-calendar-tools 20.08.3-1
akonadi-contacts 20.08.3-1
akonadi-import-wizard 20.08.3-1
akonadi-mime 20.08.3-1
akonadi-notes 20.08.3-1
akonadi-search 20.08.3-1
akonadiconsole 20.08.3-1
akregator 20.08.3-1
alsa-card-profiles 14.0-1
alsa-lib 1.2.4-3
alsa-topology-conf 1.2.4-2
alsa-ucm-conf 1.2.4-2
alsa-utils 1.2.4-2
analitza 20.08.3-1
aom 2.0.0-1
appstream 0.12.11-1
appstream-qt 0.12.11-1
archlinux-appstream-data 20201020-1
archlinux-keyring 20201028-1
argon2 20190702-3
ark 20.08.3-1
artikulate 20.08.3-1
at-spi2-atk 2.38.0-1
at-spi2-core 2.38.0-1
atk 2.36.0-1
atkmm 2.28.0-2
attica 5.76.0-1
attr 2.4.48-3
audiocd-kio 20.08.3-1
audiofile 0.3.6-6
audit 2.8.5-6
autoconf 2.69-7
automake 1.16.2-3
avahi 0.8+15+ge8a3dd0-1
avogadrolibs 1.93.0-4
baloo 5.76.0-1
baloo-widgets 20.08.3-1
base 2-2
bash 5.0.018-1
binutils 2.35.1-1
bison 3.7.2-1
black-hole-solver 1.10.1-1
blinken 20.08.3-1
bluedevil 1:5.20.3-1
bluez 5.55-1
bluez-libs 5.55-1
bluez-qt 5.76.0-1
bolt 0.9-1
bomber 20.08.3-1
boost-libs 1.72.0-2
bovo 20.08.3-1
breeze 5.20.3-1
breeze-gtk 5.20.3-1
breeze-icons 5.76.0-1
brotli 1.0.9-2
btrfs-progs 5.9-1
bzip2 1.0.8-4
c-ares 1.17.1-1
ca-certificates 20181109-4
ca-certificates-mozilla 3.59-1
ca-certificates-utils 20181109-4
cairo 1.17.2+25+gaee96d175-1
cairomm 1.12.2-4
calendarsupport 20.08.3-1
cantarell-fonts 1:0.201-1
cantor 20.08.3-1
cdparanoia 10.2-8
cervisia 20.08.3-1
cfitsio 1:3.49-1
chezmoi 1.8.9-1
chromaprint 1.5.0-3
cifs-utils 6.11-1
clang 11.0.0-1
colord 1.4.5-1
compiler-rt 11.0.0-1
confuse 3.3-2
convertlit 1.8-10
coordgen 1.4.2-1
coreutils 8.32-1
cronie 1.5.5-1
cryptsetup 2.3.4-1
curl 7.73.0-1
dav1d 0.7.1-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.110-2
dconf 0.38.0-1
desktop-file-utils 0.26-1
device-mapper 2.02.187-3
dhcpcd 9.3.3-1
diffutils 3.7-3
discord 0.0.12-2
discount 2.2.7-1
discover 5.20.3-1
djvulibre 3.5.27-6
dmenu 5.0-1
dmraid 1.0.0.rc16.3-12
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
dolphin 20.08.3-1
dolphin-plugins 20.08.3-1
dosfstools 4.1-3
double-conversion 3.1.5-2
dragon 20.08.3-1
drkonqi 5.20.3-1
dropbox 109.4.517-1
e2fsprogs 1.45.6-3
ebook-tools 0.2.2-7
editorconfig-core-c 0.12.4-1
efibootmgr 17-2
efivar 37-4
egl-wayland 1.1.5+2+g9c9c4c6-1
eglexternalplatform 1.1-2
electron 10.1.5-1
elfutils 0.181-1
elisa 20.08.3-2
eventviews 20.08.3-1
exiv2 0.27.3-1
expat 2.2.10-2
faac 1.30-2
faad2 2.10.0-1
fakeroot 1.25.3-1
farstream 0.2.9-2
fcitx 4.2.9.8-1
fcitx-qt5 1.2.5-3
ffmpeg 2:4.3.1-2
ffmpegthumbs 20.08.3-1
fftw 3.3.8-3
file 5.39-1
filelight 20.08.3-1
filesystem 2020.09.03-1
findutils 4.7.0-2
flac 1.3.3-2
flex 2.6.4-3
fluidsynth 2.1.5-2
fontconfig 2:2.13.91+48+gfcb0420-2
frameworkintegration 5.76.0-1
freecell-solver 6.2.0-1
freetype2 2.10.4-1
frei0r-plugins 1.7.0-1
fribidi 1.0.10-1
gavl 1.4.0-4
gawk 5.1.0-1
gc 8.0.4-4
gcc 10.2.0-3
gcc-libs 10.2.0-3
gd 2.3.0-1
gdb 10.1-2
gdb-common 10.1-2
gdbm 1.18.1-3
gdk-pixbuf2 2.42.0-2
gendesk 1.0.6-1
gettext 0.21-1
ghostscript 9.53.3-2
giflib 5.2.1-2
git 2.29.2-1
github-cli 1.3.0-1
glew 2.2.0-2
glib-networking 2.66.0-1
glib2 2.66.2-1
glib2-docs 2.66.2-1
glibc 2.32-5
glibmm 2.64.4-1
glslang 11.0.0-1
glu 9.0.1-2
gmp 6.2.0-1
gnu-free-fonts 20120503-8
gnugo 3.8-7
gnupg 2.2.23-1
gnutls 3.6.15-1
go 2:1.15.5-2
google-chrome 87.0.4280.66-1
gpgme 1.15.0-1
gpm 1.20.7.r38.ge82d1a6-3
gptfdisk 1.0.5-1
granatier 20.08.3-1
grantlee 5.2.0-3
grantlee-editor 20.08.3-1
grantleetheme 20.08.3-1
graphene 1.10.2-1
graphite 1:1.3.14-1
graphviz 2.44.1-4
grep 3.6-1
groff 1.22.4-3
grub 2:2.04-8
gsettings-desktop-schemas 3.38.0-1
gsfonts 20200910-1
gsl 2.6-2
gsm 1.0.19-1
gssdp 1.2.3-1
gst-plugins-bad 1.18.1-1
gst-plugins-bad-libs 1.18.1-1
gst-plugins-base 1.18.1-1
gst-plugins-base-libs 1.18.1-1
gst-plugins-good 1.18.1-1
gstreamer 1.18.1-1
gtk-doc 1.33.1-1
gtk-update-icon-cache 1:3.24.23-4
gtk2 2.24.32-2
gtk3 1:3.24.23-4
gtkmm 1:2.24.5-4
gts 0.7.6.121130-2
guile 2.2.6-2
gunicorn 20.0.4-1
gupnp 1.2.4-1
